index,111a4,111a5,111a6,112a4,112a5,112a6,113a4,113a5,113a6
домашний,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
домик,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
домой,9.0,0.0,0.0,16.0,0.0,1.0,18.0,0.0,1.0
дорога,0.0,2.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0
дорогой,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
дорожка,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
дос,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
доставать,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
достать,0.0,0.0,9.0,1.0,0.0,3.0,1.0,0.0,24.0
достаться,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
достичь,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
дохнуть,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
доходить,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
друг,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0
другой,13.0,0.0,1.0,19.0,4.0,1.0,23.0,1.0,1.0
ду,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
дуга,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
думать,0.0,0.0,5.0,9.0,0.0,10.0,26.0,6.0,18.0
духовка,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
дырка,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
дядька,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
дядя,5.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0
е,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
евро,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
его,8.0,0.0,2.0,5.0,1.0,2.0,7.0,1.0,2.0
еда,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0
ее,2.0,0.0,2.0,7.0,1.0,10.0,4.0,0.0,13.0
ездить,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
енд,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ес,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
если,7.0,7.0,0.0,25.0,13.0,5.0,32.0,11.0,4.0
естественно,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ести,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
есть,2.0,0.0,1.0,2.0,0.0,2.0,5.0,0.0,2.0
ехать,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
еще,15.0,11.0,6.0,9.0,7.0,3.0,12.0,13.0,1.0
ж,1.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0
жадный,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
жалеть,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
жалко,7.0,0.0,0.0,8.0,0.0,0.0,16.0,0.0,5.0
жалостно,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
